year;iso;mode;SSP1_noCOVID;SSP2_noCOVID;SSP5_noCOVID;SSP1;SSP2;SSP5
2110;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2130;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2150;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
1965;ALB;entrp_pass_lo;4788.844826;4788.844826;4788.844826;4788.844826;4788.844826;4788.844826
1970;ALB;entrp_pass_lo;6520.789765;6520.789765;6520.789765;6520.789765;6520.789765;6520.789765
1975;ALB;entrp_pass_lo;8086.448648;8086.448648;8086.448648;8086.448648;8086.448648;8086.448648
1980;ALB;entrp_pass_lo;9676.062656;9676.062656;9676.062656;9676.062656;9676.062656;9676.062656
1985;ALB;entrp_pass_lo;10746.18901;10746.18901;10746.18901;10746.18901;10746.18901;10746.18901
1990;ALB;entrp_pass_lo;11156.72882;11156.72882;11156.72882;11156.72882;11156.72882;11156.72882
1995;ALB;entrp_pass_lo;10126.48679;10126.48679;10126.48679;10126.48679;10126.48679;10126.48679
2000;ALB;entrp_pass_lo;12818.65581;12818.65581;12818.65581;12818.65581;12818.65581;12818.65581
2005;ALB;entrp_pass_lo;16607.90209;16607.90209;16607.90209;16607.90209;16607.90209;16607.90209
2010;ALB;entrp_pass_lo;20454.24303;20454.24303;20454.24303;20454.24303;20454.24303;20454.24303
2015;ALB;entrp_pass_lo;23982.57841;23982.57841;23982.57841;23982.57841;23982.57841;23982.57841
2020;ALB;entrp_pass_lo;27935.06721;27980.7815;27854.49578;27935.06721;27980.7815;27854.49578
2025;ALB;entrp_pass_lo;33028.55601;32530.98458;33422.41315;33028.55601;32530.98458;33422.41315
2030;ALB;entrp_pass_lo;39359.04481;37350.18766;41133.33052;39359.04481;37350.18766;41133.33052
2035;ALB;entrp_pass_lo;46775.53361;42264.39075;50768.24789;46775.53361;42264.39075;50768.24789
2040;ALB;entrp_pass_lo;54769.0224;47487.59383;61354.16526;54769.0224;47487.59383;61354.16526
2045;ALB;entrp_pass_lo;62869.5112;52910.79692;72418.08263;62869.5112;52910.79692;72418.08263
2050;ALB;entrp_pass_lo;70384;58205;83229;70384;58205;83229
2055;ALB;entrp_pass_lo;76939;63076;93510;76939;63076;93510
2060;ALB;entrp_pass_lo;83030;68080;103790;83030;68080;103790
2070;ALB;entrp_pass_lo;92473;77718;121975;92473;77718;121975
2080;ALB;entrp_pass_lo;98004;86642;135404;98004;86642;135404
2090;ALB;entrp_pass_lo;99277;94198;143913;99277;94198;143913
2100;ALB;entrp_pass_lo;97006;101192;148263;97006;101192;148263
2110;ALB;entrp_pass_lo;97006;101192;148263;97006;101192;148263
2130;ALB;entrp_pass_lo;97006;101192;148263;97006;101192;148263
2150;ALB;entrp_pass_lo;97006;101192;148263;97006;101192;148263
1965;AND;entrp_pass_lo;814.5273978;814.5273978;814.5273978;814.5273978;814.5273978;814.5273978
1970;AND;entrp_pass_lo;1182.770902;1182.770902;1182.770902;1182.770902;1182.770902;1182.770902
1975;AND;entrp_pass_lo;1523.719965;1523.719965;1523.719965;1523.719965;1523.719965;1523.719965
1980;AND;entrp_pass_lo;1641.118109;1641.118109;1641.118109;1641.118109;1641.118109;1641.118109
1985;AND;entrp_pass_lo;1721.421294;1721.421294;1721.421294;1721.421294;1721.421294;1721.421294
1990;AND;entrp_pass_lo;2346.947135;2346.947135;2346.947135;2346.947135;2346.947135;2346.947135
1995;AND;entrp_pass_lo;2426.575832;2426.575832;2426.575832;2426.575832;2426.575832;2426.575832
2000;AND;entrp_pass_lo;2984.801095;2984.801095;2984.801095;2984.801095;2984.801095;2984.801095
2005;AND;entrp_pass_lo;4247.777409;4247.777409;4247.777409;4247.777409;4247.777409;4247.777409
