year;sector;reference_demand_goessling et.al;reference_demand_JADC;reference AIM, SSP2;reference AIM, SSP1;reference AIM, SSP5
2066;trn_aviation_intl;;;;;
2066;trn_aviation_intl_B;;;;;
2066;trn_aviation_intl_d_B;;;;;
2066;trn_aviation_intl_d_L;;;;;
2066;trn_aviation_intl_L;;;;;
2067;trn_aviation_intl;;;;;
2067;trn_aviation_intl_B;;;;;
2067;trn_aviation_intl_d_B;;;;;
2067;trn_aviation_intl_d_L;;;;;
2067;trn_aviation_intl_L;;;;;
2068;trn_aviation_intl;;;;;
2068;trn_aviation_intl_B;;;;;
2068;trn_aviation_intl_d_B;;;;;
2068;trn_aviation_intl_d_L;;;;;
2068;trn_aviation_intl_L;;;;;
2069;trn_aviation_intl;;;;;
2069;trn_aviation_intl_B;;;;;
2069;trn_aviation_intl_d_B;;;;;
2069;trn_aviation_intl_d_L;;;;;
2069;trn_aviation_intl_L;;;;;
2070;trn_aviation_intl;;;;;
2070;trn_aviation_intl_B;;;;;
2070;trn_aviation_intl_d_B;;;;;
2070;trn_aviation_intl_d_L;;;;;
2070;trn_aviation_intl_L;;;;;
2071;trn_aviation_intl;;;;;
2071;trn_aviation_intl_B;;;;;
2071;trn_aviation_intl_d_B;;;;;
2071;trn_aviation_intl_d_L;;;;;
2071;trn_aviation_intl_L;;;;;
2072;trn_aviation_intl;;;;;
2072;trn_aviation_intl_B;;;;;
2072;trn_aviation_intl_d_B;;;;;
2072;trn_aviation_intl_d_L;;;;;
2072;trn_aviation_intl_L;;;;;
2073;trn_aviation_intl;;;;;
2073;trn_aviation_intl_B;;;;;
2073;trn_aviation_intl_d_B;;;;;
2073;trn_aviation_intl_d_L;;;;;
2073;trn_aviation_intl_L;;;;;
2074;trn_aviation_intl;;;;;
2074;trn_aviation_intl_B;;;;;
2074;trn_aviation_intl_d_B;;;;;
2074;trn_aviation_intl_d_L;;;;;
2074;trn_aviation_intl_L;;;;;
2075;trn_aviation_intl;;;;;
2075;trn_aviation_intl_B;;;;;
2075;trn_aviation_intl_d_B;;;;;
2075;trn_aviation_intl_d_L;;;;;
2075;trn_aviation_intl_L;;;;;
2076;trn_aviation_intl;;;;;
2076;trn_aviation_intl_B;;;;;
2076;trn_aviation_intl_d_B;;;;;
2076;trn_aviation_intl_d_L;;;;;
2076;trn_aviation_intl_L;;;;;
2077;trn_aviation_intl;;;;;
2077;trn_aviation_intl_B;;;;;
2077;trn_aviation_intl_d_B;;;;;
2077;trn_aviation_intl_d_L;;;;;
2077;trn_aviation_intl_L;;;;;
2078;trn_aviation_intl;;;;;
2078;trn_aviation_intl_B;;;;;
2078;trn_aviation_intl_d_B;;;;;
2078;trn_aviation_intl_d_L;;;;;
2078;trn_aviation_intl_L;;;;;
2079;trn_aviation_intl;;;;;
2079;trn_aviation_intl_B;;;;;
2079;trn_aviation_intl_d_B;;;;;
2079;trn_aviation_intl_d_L;;;;;
2079;trn_aviation_intl_L;;;;;
2080;trn_aviation_intl;;;;;
2080;trn_aviation_intl_B;;;;;
2080;trn_aviation_intl_d_B;;;;;
2080;trn_aviation_intl_d_L;;;;;
2080;trn_aviation_intl_L;;;;;
2081;trn_aviation_intl;;;;;
2081;trn_aviation_intl_B;;;;;
2081;trn_aviation_intl_d_B;;;;;
2081;trn_aviation_intl_d_L;;;;;
2081;trn_aviation_intl_L;;;;;
